Chalene,Bold.L,Bold.R,ExtLt.L,ExtLt.R,Light.L,Light.R,Med.L,Med.R,Reg.L,Reg.R,SemBd.L,SemBd.R
A      ,    12,    12,     36,     36,     36,     36,   36,   36,   36,   36,     12,     12
B      ,    68,    32,    120,     36,    110,     36,   86,   36,  100,   36,     54,     36
C      ,    13,    32,     36,     22,     32,     12,   21,   25,   28,   14,     36,     36
D      ,    64,    36,     72,     36,     66,     36,   64,   36,   60,   36,     64,     36
E      ,    68,    44,     96,     63,     84,     59,   64,   48,  100,   55,     77,     47
F      ,    68,    15,    120,     11,    110,     12,   86,   14,  100,   12,     77,     15
G      ,    23,    45,     46,    103,     42,     91,   31,   64,   38,   79,     36,     55
H      ,    54,    54,     64,     64,     54,     54,   54,   54,   54,   54,     54,     54
I      ,   108,   108,    160,    160,    150,    150,  120,  120,  120,  120,     75,     75
J      ,    -5,    56,      2,    103,      1,     93,   -3,   72,   -1,   84,     -4,     54
K      ,    68,     7,    120,     27,    110,     23,   86,   15,  100,   20,     54,     11
L      ,    68,    15,    120,     28,    110,     26,   86,   19,  100,   22,     54,     17
M      ,    40,    40,     90,     90,     80,     80,   56,   56,   70,   70,     54,     54
N      ,    54,    54,     96,     96,     80,     80,   54,   54,   54,   54,     54,     54
O      ,    13,    13,     36,     36,     32,     32,   25,   33,   28,   28,     36,     36
P      ,    68,    22,    120,     29,    110,     28,   86,   25,  100,   27,     54,     24
Q      ,    23,    18,     46,     40,     42,     36,   31,   21,   38,   36,     36,     37
R      ,    48,    28,     68,     81,     64,     72,   56,   46,   60,   36,     54,     32
S      ,    16,    20,     38,     69,     34,     40,  -12,   -4,   29,   40,     36,     24
T      ,    24,    24,     28,     28,     28,     28,   28,   28,   28,   28,     24,     24
U      ,    56,    57,    103,    103,     94,     94,   73,   72,   85,   85,     54,     54
V      ,    -2,    -2,      8,      8,      7,      7,    2,    3,    5,    5,      0,      0
W      ,    -2,    -2,      8,      9,      7,      6,    2,    2,    5,    4,      0,      0
X      ,     4,     6,     29,     38,     24,     32,   13,   17,   19,   26,     12,     12
Y      ,    -5,    -5,      8,      8,      5,      6,   -1,    0,    3,    3,      0,      0
Z      ,    27,    28,     49,     49,     45,     45,   35,   35,   41,   40,     32,     32
AE     ,    -5,    44,      8,     62,      5,     58,   -1,   50,    3,   55,     -3,     47
OE     ,    23,    44,     46,     62,     42,     58,   31,   50,   38,   55,     27,     47
NJ     ,    54,    56,     96,    103,     80,     93,   54,   72,   54,   84,     54,     54
LJ     ,    68,    56,    120,    103,    110,     93,   86,   72,  100,   84,     54,     54
Nj     ,    54,    64,     96,     90,     80,     85,   54,   73,   54,   80,     54,     69
Lj     ,    68,    64,    120,     90,    110,     85,   86,   73,  100,   80,     54,     69
IJ     ,    68,    68,    120,    120,    110,    110,   86,   87,  100,   72,    119,     76
Eth    ,     2,    23,     49,     46,     39,     42,   15,   32,   28,   38,      9,     27
Eng    ,    68,    69,    120,    120,    110,    111,   86,   86,  100,  101,     77,     77
Thorn  ,    68,    22,    120,     29,    110,     27,   86,   24,  100,   25,     77,     23
Alpha  ,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       
Beta   ,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       
Gamma  ,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       
Delta  ,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       
Epsilon,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       
Zeta   ,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       
Eta    ,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       
Theta  ,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       
Iota   ,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       
Kappa  ,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       
Lambda ,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       
Mu     ,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       
Nu     ,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       
Xi     ,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       
Omicron,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       
Pi     ,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       
Rho    ,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       
Sigma  ,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       
Tau    ,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       
Upsilon,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       
Phi    ,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       
Chi    ,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       
Psi    ,      ,      ,       ,       ,       ,       ,     ,     ,     ,     ,       ,       